title,longitude,latitude,temporarilyClosed,totalScore,reviewsCount,categoryName,Dine in,Outdoor Seating
Perrine,-73.971722,40.7652072,true,4.2,,French restaurant,TRUE,
The Lobster Club,-73.9719473,40.7585383,true,4.4,,Japanese restaurant,TRUE,
Palette At BG,-73.9739928,40.7636243,true,4.3,,Restaurant,TRUE,
Davio's Northern Italian Steakhouse,-73.9746387,40.7530076,true,4.4,,Steak house,TRUE,TRUE
Brasserie 8 1/2,-73.975023,40.7637696,true,4.3,,French restaurant,TRUE,
The Modern,-73.976753,40.761081,true,4.6,,New American restaurant,TRUE,
Maggie's Place,-73.9771145,40.7562972,true,4.2,,Restaurant,TRUE,
Agern,-73.9772353,40.7527277,true,4.5,,Restaurant,TRUE,
21 Club,-73.9774216,40.7605396,true,4.4,,American restaurant,TRUE,
Southgate,-73.9780606,40.7662604,true,4.1,,American restaurant,TRUE,
Black Tap,-73.9797627,40.7635483,true,4.4,,American restaurant,TRUE,
Norikoh,-73.9815975,40.7511429,true,4.2,,Asian fusion restaurant,TRUE,
Pasta by Hudson,-73.98298,40.7669606,true,4.2,,Italian restaurant,TRUE,
Asiate,-73.9830036,40.7688396,true,4.2,,American restaurant,TRUE,
Ichiran Times Square,-73.9833054,40.7601361,true,4.6,,Ramen restaurant,TRUE,
Junior's Restaurant and Bakery,-73.984011,40.7610605,true,4.4,,American restaurant,TRUE,
The Long Room,-73.9843398,40.7564107,true,4.3,,Pub,TRUE,
Spyglass Rooftop Bar,-73.9847231,40.7520646,true,4.2,,Bar,TRUE,
LeGrande Lounge,-73.9847424,40.7607185,true,4.1,,Cocktail bar,TRUE,
Pokeworks,-73.9858963,40.7517314,true,4.3,,Restaurant,TRUE,
Friedman’s At The Edison,-73.9863504,40.7596825,true,4.3,,American restaurant,TRUE,
Junior's Restaurant & Bakery,-73.9865621,40.7582077,true,4.4,,American restaurant,TRUE,TRUE
Carmine's Italian Restaurant,-73.986654,40.757498,true,4.5,,Italian restaurant,TRUE,
Dirty French,-73.987285,40.721946,true,4.4,,French restaurant,TRUE,
Dig,-73.9874286,40.7534346,true,4.4,,American restaurant,TRUE,
The House,-73.9877486,40.7361399,true,4.4,,American restaurant,TRUE,
Dig,-73.9883569,40.7452688,true,4.4,,American restaurant,TRUE,TRUE
Just Salad,-73.9885908,40.7506179,true,4.1,,Restaurant,TRUE,
Dave & Buster's,-73.988634,40.756536,true,4.2,,Sports bar,TRUE,
Nur,-73.9888053,40.7385478,true,4.3,,Middle Eastern restaurant,TRUE,
La Pizza Fresca Ristorante,-73.988895,40.739047,true,3.9,,Italian restaurant,TRUE,TRUE
Home's Kitchen,-73.9891381,40.7394389,true,4,,Chinese restaurant,TRUE,
Meet Noodles,-73.9892241,40.7310244,true,4.7,,Chinese noodle restaurant,TRUE,
Dig,-73.9898149,40.7517621,true,4.5,,American restaurant,TRUE,
INDIAN PROJECT Restaurant & Bar,-73.9902341,40.7542906,true,4.3,,Indian restaurant,TRUE,
Hooters,-73.9907182,40.7502951,true,4,,American restaurant,TRUE,
Blue Maiz,-73.990727,40.7554318,true,4.5,,Mexican restaurant,TRUE,
Narcissa,-73.990739,40.727842,true,4.3,,New American restaurant,TRUE,
BRIGITTE,-73.9908333,40.7147222,true,4.5,,Restaurant,TRUE,
Dig,-73.9914049,40.7490725,true,5,,American restaurant,TRUE,
Piggyback,-73.9916272,40.7479602,true,4.6,,Asian fusion restaurant,TRUE,
Potbelly Sandwich Shop,-73.9928922,40.7475192,true,4.2,,Sandwich shop,TRUE,
Floret,-73.9929163,40.7219041,true,4.3,,Mediterranean restaurant,TRUE,TRUE
Jisu,-73.9951758,40.7161006,true,4.5,,Vegetarian restaurant,TRUE,
The Terrace,-73.9955556,40.7591667,true,4.4,,Japanese restaurant,TRUE,
PRINT.,-73.9959347,40.7645778,true,4.4,,New American restaurant,TRUE,
Taco Dumbo,-73.9968049,40.7219127,true,4.2,,Mexican restaurant,TRUE,
Burger & Barrel,-73.9979265,40.7256816,true,4.3,,Hamburger restaurant,TRUE,
Checkers,-73.9996865,40.711165,true,4.3,,Fast food restaurant,TRUE,TRUE
Le Coucou,-74.0001861,40.7191167,true,4.6,,Modern European restaurant,TRUE,
Fishbone,-74.0009008,40.7424753,true,4.5,,Cocktail bar,TRUE,
El Quinto Pino,-74.0011974,40.7474124,true,4.3,,Spanish restaurant,TRUE,
Salinas,-74.0029917,40.7436444,true,4.4,,Spanish restaurant,TRUE,
Daddy-O,-74.0041906,40.7303837,true,4,,Bar,TRUE,
Houston Hall,-74.004745,40.728695,true,4.1,,Beer hall,TRUE,TRUE
Dante's Gourmet Foods,-74.005685,40.710198,true,4,,Sandwich shop,TRUE,
Vietspot Tribeca,-74.006976,40.7164419,true,4.2,,Vietnamese restaurant,TRUE,
Roti Modern Mediterranean,-74.0071815,40.7068128,true,4.3,,Mediterranean restaurant,TRUE,TRUE
